"","genes","PPEE","PPDE","PostFC","RealFC","Direction","BlsAL1.genes.results","BlsAL2.genes.results","BlsAL3.genes.results","BlsAD1.genes.results","BlsAD2.genes.results","BlsAD3.genes.results"
"1935","gene-ACX60_RS09835_ACX60_RS09835",0.895153579681411,0.104846420318589,1.20577628472416,1.20603077973736,"D Over L",300.613085107219,424.444292444938,542.090428532159,566.449967069934,447.35784988424,514.417620583575
"1936","gene-ACX60_RS09840_ACX60_RS09840",0.195022377064388,0.804977622935612,0.635401380068744,0.63414353152373,"D Over L",197.909861516972,149.68325289121,106.640740039113,101.350116657121,78.8266090910483,107.861759154621
"1937","gene-ACX60_RS09845_rraA",0.979981464818482,0.0200185351815178,1.09886331969083,1.09894241464725,"D Over L",631.212512868525,673.574638010445,654.063205573228,898.267472289822,491.824142192011,762.575094442807
"1938","gene-ACX60_RS09850_ACX60_RS09850",0.000169499281524099,0.999830500718476,0.428247558435809,0.427199017284226,"D Over L",326.851134929545,332.173794087343,195.508023405041,192.981728977257,68.7206335665549,103.336090938343
"1939","gene-ACX60_RS09855_rpsT",0.00279333602236276,0.997206663977637,2.3936650469156,2.3946260852715,"D Over L",750.408224918519,740.214442379819,782.032093620164,1164.83216267567,2272.49702960774,2004.87101981106
"1940","gene-ACX60_RS09860_ACX60_RS09860",0.97083032881494,0.0291696711850603,1.05914631723079,1.05924626060859,"D Over L",343.343623389293,281.93763387043,302.148763444154,249.904397236736,377.963484616052,354.51067694176
"1941","gene-ACX60_RS09865_ACX60_RS09865",0.977479763066706,0.0225202369332945,0.927738824310312,0.92764644333844,"D Over L",325.351817796841,502.361602169129,398.125429479356,358.196302705988,386.72199673728,392.224578744075
"1942","gene-ACX60_RS09870_ACX60_RS09870",0.305958067543585,0.694041932456415,2.67871774136444,2.68440202858403,"D Over L",77.2148323342732,179.414857917546,206.172097408952,188.816655689978,644.761238462677,408.818695537093
"1943","gene-ACX60_RS09875_ACX60_RS09875",0.958160086894015,0.0418399131059854,1.07799319005731,1.07830657823112,"D Over L",77.2148323342732,186.591452234248,126.191542379617,149.942638342041,134.072608624945,136.52432452438
"1944","gene-ACX60_RS09880_ACX60_RS09880",0.790126678823409,0.209873321176591,0.596621062210827,0.596413781393673,"D Over L",664.19748978802,1317.41767099455,1068.18474605845,874.665390328575,379.310948019318,564.954248998677
"1945","gene-ACX60_RS09885_ACX60_RS09885",0.0435380608478994,0.956461939152101,0.508474978813623,0.507995652462629,"D Over L",439.29991988237,680.751232327147,486.992712845284,423.449117540024,158.32694988373,234.580469210399
"1946","gene-ACX60_RS09890_ACX60_RS09890",0.402484555207301,0.597515444792699,0.513626285904834,0.513128720496813,"D Over L",331.349086327658,660.24667713657,540.313082864841,387.35181571694,160.348144988628,238.35185939063
"1947","gene-ACX60_RS09895_ACX60_RS09895",0.821090247096821,0.178909752903179,0.591703451836964,0.591575321425038,"D Over L",1069.01311561819,2199.11354418935,1725.80264296632,1413.34820214998,713.481872029232,827.443005542788
"1948","gene-ACX60_RS09900_ACX60_RS09900",0.976369064017906,0.0236309359820942,0.967548649545123,0.967514215987267,"D Over L",360.585770415392,561.824812221802,554.531848203389,626.149350854265,382.679606527482,420.132866077788
"1949","gene-ACX60_RS09905_ACX60_RS09905",0.976530243924388,0.0234697560756116,0.927022553846716,0.926914146976951,"D Over L",299.113767974515,377.283815506611,378.574627138852,360.97301823084,341.581972727876,275.311483156899
"1950","gene-ACX60_RS09910_ACX60_RS09910",0.655771130012708,0.344228869987292,0.811924881810998,0.811521277683779,"D Over L",284.120596647471,247.079890046449,199.062714739678,190.205013452404,217.615339627424,184.798118831343
"1951","gene-ACX60_RS09915_ACX60_RS09915",0.654376400099896,0.345623599900104,0.753319124019263,0.751003383797852,"D Over L",71.2175638034559,51.2613879764418,44.4336416829639,52.7575949721997,36.3815118881761,36.2053457302223
"1952","gene-ACX60_RS09920_ACX60_RS09920",0.0454617241259485,0.954538275874051,0.526675141274693,0.525261610269054,"D Over L",228.645862737411,194.793274310479,101.308703037158,119.398767568663,68.7206335665549,87.4962521813705
"1953","gene-ACX60_RS09925_ACX60_RS09925",0.101248500925638,0.898751499074362,0.512853411944033,0.503755847095238,"D Over L",39.7319040166649,24.6054662286921,19.5508023405041,18.048650911542,12.127170629392,12.0684485767408
"1954","gene-ACX60_RS09930_ACX60_RS09930",0.167172192107807,0.832827807892193,0.597048344560517,0.59384330083292,"D Over L",88.4597108295557,67.6650321289031,40.8789503483268,51.3692372097734,31.6653899767459,33.9425116220834
"1955","gene-ACX60_RS09935_ACX60_RS09935",1,1.59543748140292e-16,0.610702687463352,0.587516305178478,"D Over L",11.2448784952825,6.15136655717301,8.88672833659277,6.94178881213154,4.71612191143024,3.77139018023149
"1956","gene-ACX60_RS09940_ACX60_RS09940",0.99013221216982,0.00986778783017996,0.817881000410541,0.817871956409543,"D Over L",7804.69533429241,9737.61326000488,14016.1479324741,13297.6906485192,4817.18166667517,7695.89880178037
"1957","gene-ACX60_RS09945_ACX60_RS09945",1,3.58136102759809e-16,0.477840009731696,0.399201984698199,"D Over L",4.497951398113,4.10091103811534,1.77734566731855,2.77671552485262,1.34746340326578,0
"1958","gene-ACX60_RS09950_ACX60_RS09950",0.867892153254613,0.132107846745387,0.803346893815853,0.747848471356416,"D Over L",4.497951398113,1.02522775952884,0,0,3.36865850816446,0.754278036046298
