"","genes","PPEE","PPDE","PostFC","RealFC","Direction","WTL1.genes.results","WTL2.genes.results","WTL3.genes.results","WTD1.genes.results","WTD2.genes.results","WTD3.genes.results"
"408","gene-ACX60_RS02070_ACX60_RS02070",5.65144708808418e-10,0.999999999434855,0.425635617096319,0.425302115601007,"D Over L",922.917610741453,804.864650087536,981.475343180859,411.198299384118,500.403282361661,240.634168011193
"409","gene-ACX60_RS02075_ACX60_RS02075",1.67434299802594e-06,0.999998325657002,0.514338036875423,0.514226855984183,"D Over L",2472.30935915392,2195.69459121938,2203.74743204895,1342.05589885947,1467.0646819356,724.503954498565
"423","gene-ACX60_RS02145_rplN",0.0343928522751,0.9656071477249,2.50431391115356,2.50462103797557,"D Over L",2308.02418319124,2563.50507886345,2833.67984692693,4532.7163262545,5476.17803826843,9289.77961046454
"426","gene-ACX60_RS02160_rpsN",0.0179922907102776,0.982007709289722,3.12841348976811,3.12928155089633,"D Over L",1174.82154721756,1373.70516134274,1308.63379090781,2616.17468738591,3412.16167596257,6041.86870492968
"428","gene-ACX60_RS02170_rplF",0.00310266993100761,0.996897330068992,3.17060637753651,3.17091794188627,"D Over L",3599.67074442671,3522.49274705285,3837.50763063572,8462.34181341229,9405.2268694234,16884.7142429908
"429","gene-ACX60_RS02175_rplR",0.00811762945554351,0.991882370544456,2.92666717996605,2.92722448537149,"D Over L",1782.31162011067,1765.34142956295,1890.81326465795,3859.30461856747,4284.62951650372,7775.73543984277
"430","gene-ACX60_RS02180_rpsE",0.0244462086323535,0.975553791367647,2.84609959624766,2.84633435996874,"D Over L",3709.92435140611,4525.40919817951,4135.20149766677,8796.06796943419,9108.51715847013,17306.1492183185
"433","gene-ACX60_RS02195_secY",0.00740493718967672,0.992595062810323,2.97184659509364,2.97193560358579,"D Over L",11582.4699835377,11266.6159899395,12001.2285234496,26269.0159954376,27319.6643779708,49984.2692342385
"435","gene-ACX60_RS02205_rpsM",0.0438222464090133,0.956177753590987,2.18995315227212,2.19019383873747,"D Over L",2447.48404367512,2577.65163608053,2752.39824500719,4365.85324824355,4675.53278648977,7992.95655366909
"437","gene-ACX60_RS02215_rpsD",0.028278169664098,0.971721830335902,2.54809738708043,2.54820312827003,"D Over L",7523.53090275311,7278.03141036602,8229.76219437366,14894.9134707343,15666.7437061277,28126.8824274272
"438","gene-ACX60_RS02220_rpoA",0.0449851926524143,0.955014807347586,2.83759829804113,2.83769058301636,"D Over L",10720.8855051557,9433.51999686317,11170.1241438203,22059.2989130471,22901.9864593333,43928.0925517514
"439","gene-ACX60_RS02225_rplQ",0.00165552358154575,0.998344476418454,3.28604887263397,3.28657495288225,"D Over L",2327.73840430677,1967.11600881709,2541.06608001587,5822.32954345339,5709.30709687457,10935.1970295681
"455","gene-ACX60_RS02305_ACX60_RS02305",0.000215239414463664,0.999784760585536,0.281636239548161,0.281590627810504,"D Over L",6994.16755798448,10732.7695939055,7049.14692648944,2668.6173690465,3203.75842660254,1104.3157223865
"483","gene-ACX60_RS02445_ACX60_RS02445",3.96503063559983e-06,0.999996034969364,0.380229018061849,0.380143246209452,"D Over L",3680.11206814141,4559.53218329839,3127.48235726607,975.755686251583,1917.8161844921,1427.545942661
"488","gene-ACX60_RS02470_ACX60_RS02470",4.71447013206117e-07,0.999999528552987,2.5688728788828,2.58600094641453,"D Over L",65.7140703850718,27.5485587911553,50.8010011998374,134.682341537407,137.758080085445,100.155842901956
"489","gene-ACX60_RS02475_ACX60_RS02475",0.019977539592176,0.980022460407824,2.79386965091133,2.79815056987594,"D Over L",294.253004057599,144.443794742814,220.476345207294,789.023983166048,739.419438407348,316.076231495783
"497","gene-ACX60_RS02515_ACX60_RS02515",7.90558196683833e-09,0.999999992094418,2.48659913818467,2.49746631566217,"D Over L",81.7775098125338,63.2872296553567,70.1053816557756,148.984891081202,166.01614779528,222.424014756292
