"","BlsAL1.genes.results","BlsAL2.genes.results","BlsAL3.genes.results","BlsAD1.genes.results","BlsAD2.genes.results","BlsAD3.genes.results"
"gene-ACX60_RS00425_ACX60_RS00425",432.053953149743,1342.4971194109,6859.51771460615,3584.57253360323,3561.5633929334,3205.69631593735
"gene-ACX60_RS00430_ACX60_RS00430",9.00112402395297,4.09922784552946,10.6624627688179,2.77766178504706,10.108505372564,8.29319366775889
"gene-ACX60_RS00440_glmS",3569.69576916602,5969.50055005228,10438.5510506727,8998.23535265994,6207.2961991125,7190.95283664403
"gene-ACX60_RS00445_glmU",1416.92694010393,1623.29422682967,2939.28556993745,2383.23381157037,2203.65417121896,2224.83768305059
"gene-ACX60_RS00450_ACX60_RS00450",270.783814387252,437.59257251027,454.931744802895,343.041230453312,361.210591979622,340.774867075184
"gene-ACX60_RS00455_thiL",267.783439712601,191.638901778502,294.994803270627,216.65761923367,345.710883741691,308.356019101217
"gene-ACX60_RS00460_nusB",855.106782275532,550.32133826233,586.435452284982,679.138306444005,740.616493629859,757.696330554335
"gene-ACX60_RS00465_ribE",1482.18508927759,1100.64267652466,1222.62906415778,1208.28287649547,936.047597499431,1078.11517680866
"gene-ACX60_RS00470_ACX60_RS00470",2536.81678741741,1734.99818562034,2052.52408299744,2379.0673188928,2115.37322429857,2122.30365224921
"gene-ACX60_RS00475_ACX60_RS00475",1482.18508927759,1609.9717363317,1693.5545031139,1636.04279139272,1700.92450402344,1582.49213714781
"gene-ACX60_RS00480_serB",1081.63507021168,925.400686128276,911.640566733926,1202.72755292538,1242.67226046721,1140.69109266538
"gene-ACX60_RS00485_ACX60_RS00485",5516.93893301451,3751.81828562084,2047.19285161303,1974.91752916846,1703.62010545613,2094.40836445765
"gene-ACX60_RS00490_ACX60_RS00490",1509.18846134945,1476.74683135199,1570.9361812725,1704.09550512637,994.676928660302,1315.60208638539
"gene-ACX60_RS00495_dtd",105.763207281447,77.8853290650597,87.0767792786791,137.494258359829,196.778904585913,164.35601996104
