"","WTL1.genes.results","WTL2.genes.results","WTL3.genes.results","WTD1.genes.results","WTD2.genes.results","WTD3.genes.results"
"gene-ACX60_RS00400_hutG",223.723092924478,327.176997437776,239.480307178904,6333.98636056391,5461.84218710503,8398.65576720806
"gene-ACX60_RS00405_ACX60_RS00405",105.281455493872,119.244463758643,73.0617886308522,296.6822053763,283.808531067769,176.622419103185
"gene-ACX60_RS00410_ACX60_RS00410",95.0457584319677,67.0750108642366,84.2240063383435,96.5110788573508,82.4340131732108,96.1033751002623
"gene-ACX60_RS00415_murI",146.224243741489,121.480297454117,135.97610661853,169.192261700541,166.045655106039,146.752451166617
"gene-ACX60_RS00420_ACX60_RS00420",117.710516211899,99.1219604993719,117.710659460817,122.723964472928,108.341845884791,48.0516875501311
"gene-ACX60_RS00425_ACX60_RS00425",2825.05238908556,797.447351385924,2045.73008166386,7542.16208848186,8309.34852785965,2568.81724254485
"gene-ACX60_RS00430_ACX60_RS00430",3.65560609353722,4.47166739094911,9.13272357885652,4.76597920283214,8.24340131732108,9.09085980678157
"gene-ACX60_RS00440_glmS",6637.11842342618,3584.7866917442,5845.95783753249,5666.74927216741,6221.41273705818,6803.85921824695
"gene-ACX60_RS00445_glmU",1678.65431815229,1576.26275530956,1504.86989638269,1902.81719673073,1854.76529639724,2648.03759228966
"gene-ACX60_RS00450_ACX60_RS00450",385.300882258823,330.158109031742,404.884078662639,369.363388219491,357.999142923658,336.361812850918
"gene-ACX60_RS00455_thiL",208.369547331622,304.818660483031,171.492253869639,351.49096620887,292.05193238509,544.152894148782
"gene-ACX60_RS00460_nusB",476.691034597254,618.58065574796,501.285049772791,575.49198874198,568.794690895155,975.319387841851
"gene-ACX60_RS00465_ribE",957.768796506752,1053.82294846701,999.525858352631,666.045593595791,804.320442818614,997.397190229749
"gene-ACX60_RS00470_ACX60_RS00470",1719.59710639991,2306.63509583125,1784.94008613429,1793.19967506559,1810.01540353179,2529.8564148015
"gene-ACX60_RS00475_ACX60_RS00475",1391.32367920027,1291.5665980858,1450.07355490955,1547.75174611974,1570.95676532947,1845.44454077666
"gene-ACX60_RS00480_serB",776.450734267306,1022.52127673036,822.959869161405,845.961308502704,897.353114828381,1206.48696578573
"gene-ACX60_RS00485_ACX60_RS00485",1868.74583501623,3578.82446855627,2538.89715492211,1402.38938043336,1554.46996269483,1472.71928869861
"gene-ACX60_RS00490_ACX60_RS00490",1469.55364960196,1190.95408178945,1540.3860436338,870.982699317573,905.596516145702,940.254642872836
"gene-ACX60_RS00495_dtd",57.7585762778881,88.6880699204906,80.1650180810739,114.383500867971,128.361534798285,175.323724845073
"gene-ACX60_RS00500_ACX60_RS00500",240.538880954749,287.677268817726,233.391824793,269.277824960016,240.236266961929,267.531017171
"gene-ACX60_RS00505_ACX60_RS00505",33.6315760605424,32.0469496351353,26.3834236722522,34.553349220533,36.5064915481362,27.2725794203447
"gene-ACX60_RS00510_pncB",827.629219576827,792.230406096483,778.310998331439,818.556928086419,825.517760491726,1175.31830359105
"gene-ACX60_RS00515_ACX60_RS00515",388.95648835236,271.281155050912,389.662872697878,343.150502603914,375.663574317918,332.465730076583
"gene-ACX60_RS00520_asd",548.340914030583,574.60925973696,602.759756204531,562.385545934192,579.39334973171,638.957574990933
"gene-ACX60_RS00525_ACX60_RS00525",2115.13368572064,1950.3922603523,2673.85851447633,1429.79376084964,1513.25295610823,392.205665949719
"gene-ACX60_RS00530_phoR",413.814609788413,682.67455501823,345.014001867913,551.66209272782,496.9593365585,887.008178290259
"gene-ACX60_RS00535_phoB",648.504520993503,1839.34585347707,637.261156391322,695.832963613492,608.834068722143,941.553337130948
"gene-ACX60_RS00540_ACX60_RS00540",119.172758649313,140.112244916405,110.607430010596,135.830407280716,157.802253788718,145.453756908505
"gene-ACX60_RS00545_ACX60_RS00545",310.726517950664,345.808944900064,363.279449025626,383.661325827987,374.485945558301,268.829711429112
"gene-ACX60_RS00550_ACX60_RS00550",518.364944063578,403.940620982403,545.933920602757,562.385545934192,588.814379808649,361.037003755039
"gene-ACX60_RS00555_ACX60_RS00555",816.662401296215,839.182913701449,842.240063383435,544.513123923572,595.880152366352,335.063118592806
"gene-ACX60_RS00560_ACX60_RS00560",862.723038074784,984.512103907295,1026.9240290892,631.492244375258,680.669423058798,345.4526726577
"gene-ACX60_RS00565_ACX60_RS00565",529.33176234419,724.410117333755,775.266757138487,314.554627386921,369.775430519831,135.064202843612
"gene-ACX60_RS00570_ACX60_RS00570",406.503397601339,435.987570617538,473.886879036222,268.086330159308,326.203166413991,192.206750200525
"gene-ACX60_RS00575_gshA",860.529674418662,1006.87044086204,830.063098611626,910.302027740938,873.800539636035,1231.16215668985
"gene-ACX60_RS00580_ACX60_RS00580",356.056033510525,406.921732576369,387.633378569244,395.576273835067,392.15037695256,341.556589883365
"gene-ACX60_RS00585_ACX60_RS00585",528.600641125482,658.08038436801,450.547696556922,422.980654251352,493.426450279648,877.917318483477
"gene-ACX60_RS00590_ACX60_RS00590",70.1876369959146,67.0750108642366,72.0470415665348,73.8726776438981,69.4800968174205,49.3503818082428
"gene-ACX60_RS00605_ACX60_RS00605",440.134973661881,280.224489832811,396.7661021481,556.428071930652,443.966042375721,402.595220014612
"gene-ACX60_RS00610_ACX60_RS00610",184.242547114276,50.6788970974232,140.0350948758,142.979376084964,148.381223711779,90.9085980678157
"gene-ACX60_RS00615_ACX60_RS00615",36.5560609353722,17.1413916653049,22.3244354149826,29.7873700177009,40.0393778269881,22.0778023878981
"gene-ACX60_RS00630_ACX60_RS00630",80.4233340578189,72.2919561536772,61.8995709233609,116.766490469387,71.8353543366551,55.8438530988011
"gene-ACX60_RS00635_ACX60_RS00635",28.5137275295903,27.5752822441862,21.3096883506652,56.0002556332776,31.795976509667,75.3242669704758
"gene-ACX60_RS00640_ACX60_RS00640",346.551457667329,389.035063012572,390.677619762196,475.406425482506,401.571407029498,440.25735349985
"gene-ACX60_RS00645_ACX60_RS00645",187.167031989106,152.781969190761,211.067389378017,221.618032931694,215.506063009965,151.947228199063
"gene-ACX60_RS00650_parE",939.490766039066,754.966511171908,918.346093207239,937.706408157223,932.6819776169,1068.82537442589
"gene-ACX60_RS00655_ACX60_RS00655",46.7917579972764,34.2827833306098,46.6783649586,38.1278336226571,47.1051503846919,58.4412416150244
"gene-ACX60_RS00660_alc",83.3478189326486,77.5089014431178,89.2977416599305,61.9577296368178,65.9472105385687,72.7268784542525
"gene-ACX60_RS00665_hpxO",22.6647577799308,32.7922275336268,30.4424119295217,23.8298960141607,18.8420601538768,27.2725794203447
"gene-ACX60_RS00670_ACX60_RS00670",178.393577364616,306.309216280014,204.978906992113,461.108487874009,462.808102529598,1101.29273087868
"gene-ACX60_RS00675_ACX60_RS00675",125.021728398973,108.06529528127,154.241553776244,110.809016465847,76.5458693751243,38.9608277433496
