"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","BlsAL1.genes.results","BlsAL2.genes.results","BlsAL3.genes.results","BlsAD1.genes.results","BlsAD2.genes.results","BlsAD3.genes.results"
"gene-ACX60_RS08195_cydB",12169.3873250597,2.20276419352251,0.581496161555038,3.78809756479196,0.000151805239570426,0.0210717349849872,38043.2506872372,16089.4692937031,5851.91498295286,5940.02972732313,3026.48650854568,4065.172750596
"gene-ACX60_RS08200_ACX60_RS08200",17205.8525447092,1.72418775053278,0.532532451052786,3.23771395926043,0.00120491551303549,0.0658869710082588,47968.4901109827,22215.7653088469,9063.09335349517,10307.9028843096,6445.18302554684,7234.68058507403
"gene-ACX60_RS08205_ACX60_RS08205",285.495383328023,1.02308932402028,0.340293818212816,3.00648812662372,0.00264284374627193,0.0918324163882635,449.306107528986,460.138325660682,238.128335170265,159.715552640206,208.90911103299,196.774867935006
"gene-ACX60_RS08290_ACX60_RS08290",104.430036412941,1.53283414090165,0.315933307720993,4.85176492456227,1.2236761229213e-06,0.000902858959605385,159.769951425165,181.390832164679,122.618321841405,65.2750519486058,48.5208257883074,49.0052353094844
"gene-ACX60_RS08300_ACX60_RS08300",315.98506407449,0.857871730906822,0.277664589095354,3.08959717802625,0.00200428126707176,0.0866095117546684,456.807044215613,406.848363668799,355.415425627262,280.543840289753,192.735502436888,203.560208208627
"gene-ACX60_RS08500_ACX60_RS08500",325.226616869625,3.64134103257581,0.751193270405958,4.84740901713346,1.25084366805955e-06,0.000902858959605385,666.833271441183,1072.97288856734,65.7518537410434,76.3856990887941,24.9343132523247,44.4816751270704
"gene-ACX60_RS08505_ACX60_RS08505",380.903703617088,3.57136159384731,1.15391554118313,3.09499392839924,0.00196816926012635,0.0866095117546684,704.33795487432,1330.19943587431,72.8601622535887,116.661794971976,22.9126121778118,38.4502615505185
"gene-ACX60_RS08510_ACX60_RS08510",146.210842985361,3.66890573877218,1.20969813791363,3.03291013169612,0.00242207719008593,0.0890211867623457,181.522667816385,597.462458485919,33.7644654345899,40.2760958831823,5.39120286536749,18.8481674267248
"gene-ACX60_RS08515_ACX60_RS08515",136.190696799988,4.13335519568048,1.18458070708573,3.48929808746358,0.00048429077011188,0.0410200052627848,182.272761485048,556.470180030624,33.7644654345899,27.7766178504706,4.04340214902562,12.8167538501728
"gene-ACX60_RS08525_ACX60_RS08525",186.288090988923,3.56235226048635,0.755759852743837,4.71360346484798,2.43374059482222e-06,0.00146389496778557,341.29261924155,645.62838567089,42.6498510752714,44.4425885607529,12.8041068052478,30.9109945798286
"gene-ACX60_RS08530_ACX60_RS08530",256.126264731584,3.51921782022446,1.15653123131843,3.04290772693841,0.00234304166362893,0.0890211867623457,319.539902850331,1033.00541707342,60.4206223566345,69.4415446261764,12.1302064470769,42.2198950358635
"gene-ACX60_RS08535_ACX60_RS08535",267.601625273808,3.70057764648836,0.792030211361436,4.67226829659359,2.97891481344916e-06,0.00153178322671759,445.555639185672,998.161980386424,46.204005331544,63.8862210560823,20.890911103299,30.9109945798286
"gene-ACX60_RS08540_ACX60_RS08540",247.690117118728,3.24485446077076,0.706100323421139,4.59545811429324,4.31799528926687e-06,0.00155836449989641,393.04908237928,886.458021595746,63.9747766129071,66.6638828411294,33.0211175503759,42.9738217329324
"gene-ACX60_RS09045_ACX60_RS09045",362.811835177489,1.02221923330152,0.262842517899869,3.88909390105195,0.000100619184178451,0.0160203606425555,468.058449245555,572.867091412742,415.836047983896,273.599685827135,214.300313898358,232.209422697249
"gene-ACX60_RS09245_ACX60_RS09245",1641.98549827495,-1.72738674630167,0.585177431213966,-2.9519025412825,0.00315822594373644,0.0996847059727397,459.057325221602,435.542958587505,1393.22846845887,981.903441014135,4053.51065439818,2528.67014196939
